Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61767292,"Icebreaker (Maple Hills, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",5,4.03,Pig & Bear Publishing,Kindle Edition,435,2022,2022,2023/04/12,2023/04/12,,,read,This is easily one of the cutest books I've ever read everyone wants a Nate aND Anastasia is such a well written character like I want to be her and be her friend and the hockey team chefs kiss and Sabrina like I'm so happy after reading this book   ,,,1,0
37683751,From Lukov with Love,Mariana Zapata,"Zapata, Mariana",,"=""""","=""""",3,4.27,Mariana Zapata,Paperback,493,2018,2018,,2023/04/11,,,read,,,,1,0
58438593,The Soulmate Equation,Christina Lauren,"Lauren, Christina",,"=""1982171111""","=""9781982171117""",4,4.02,Gallery Books,Paperback,416,2022,2021,,2023/03/14,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",0,3.90,Harper,Paperback,212,2016,2016,,2023/04/03,to-read,to-read (#77),to-read,,,,0,0
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",5,4.11,Twelve,Kindle Edition,273,2012,2012,,2022/12/21,life-changers,life-changers (#5),read,,,,1,0
59912428,Mad Honey,Jodi Picoult,"Picoult, Jodi",Jennifer Finney Boylan,"=""1984818384""","=""9781984818386""",5,4.14,Ballantine,Hardcover,464,2022,2022,2023/04/01,2023/03/20,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",5,4.19,Grand Central Publishing,Hardcover,296,2016,2016,,2022/11/15,life-changers,life-changers (#4),read,,,,1,0
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",5,4.20,Ecco,Hardcover,304,2010,2010,,2022/12/06,life-changers,life-changers (#3),read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",5,4.12,Broadway Books,Paperback,415,2014,2012,2023/02/28,2023/02/09,life-changers,life-changers (#2),read,,,,1,0
25574782,Pretty Girls,Karin Slaughter,"Slaughter, Karin",,"=""0062430874""","=""9780062430878""",5,4.04,William Morrow,Paperback,688,2015,2015,2023/03/04,2023/02/28,life-changers,life-changers (#1),read,,,,2,0
49392936,"Bookish and the Beast (Once Upon a Con, #3)",Ashley Poston,"Poston, Ashley",,"=""1683691938""","=""9781683691938""",0,3.81,Quirk Books,Hardcover,288,2020,2020,,2023/03/23,to-read,to-read (#76),to-read,,,,0,0
54737068,Local Woman Missing,Mary Kubica,"Kubica, Mary",,"=""0778389448""","=""9780778389446""",5,4.15,Park Row,Hardcover,352,2021,2021,2023/03/20,2023/03/20,,,read,Ok so I LOVED this book!! It wasn't too dark (Pretty Girls by Karin Slaughter was very good but it nearly turned me away from this genre because it was so graphic) and there was just enough suggestion to let the reader assume what happened. This book was perfectly paced until the end :(( I felt the ending was a bit rushed especially with the reveal of what happened to Delilah. I think some of it was a bit far fetched like the cop lying about the dna test like that was terrible and Bea managing to keep a child in her garage for 11 years without anyone noticing. ,true,,1,0
54981009,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,"=""""","=""""",5,3.85,Simon & Schuster,Hardcover,320,2021,2021,,2022/12/08,,,read,,,,1,0
60410002,We All Want Impossible Things,Catherine Newman,"Newman, Catherine",,"=""0063230895""","=""9780063230897""",0,4.04,Harper,Hardcover,224,2022,2022,,2023/03/20,to-read,to-read (#75),to-read,,,,0,0
60784636,All the Dangerous Things,Stacy Willingham,"Willingham, Stacy",,"=""1250803853""","=""9781250803856""",0,4.11,Minotaur Books,Hardcover,326,2023,2023,,2023/03/20,to-read,to-read (#74),to-read,,,,0,0
59691966,"The Missed Connection (Airport Novellas, #2)",Denise  Williams,"Williams, Denise",,"=""""","=""""",3,3.56,Berkley ,Kindle Edition,148,2022,2022,,2023/03/19,,,read,Cute simple but I hate when the girl proposes to the guy ,true,,1,0
60784757,Birnam Wood,Eleanor Catton,"Catton, Eleanor",,"=""0374110336""","=""9780374110338""",0,3.86,"Farrar, Straus and Giroux",Hardcover,432,2023,2023,,2023/03/19,to-read,to-read (#73),to-read,,,,0,0
61827543,Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593549228""","=""9780593549223""",0,4.07,Berkley,Paperback,339,2023,2023,,2023/03/19,to-read,to-read (#72),to-read,,,,0,0
61827495,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,"=""0593243730""","=""9780593243732""",0,4.23,The Dial Press,Hardcover,400,2023,2023,,2023/03/19,to-read,to-read (#71),to-read,,,,0,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.07,Currency,Hardcover,260,2014,2011,,2023/03/15,to-read,to-read (#70),to-read,,,,0,0
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,4.22,Atria Books,Kindle Edition,386,2016,2016,,2023/03/13,to-read,to-read (#69),to-read,,,,0,0
41861731,"Dear Haiti, Love Alaine",Maika Moulite,"Moulite, Maika",Maritza Moulite,"=""1335777091""","=""9781335777096""",0,3.72,Inkyard Press,Hardcover,432,2019,2019,,2023/03/13,to-read,to-read (#68),to-read,,,,0,0
50705179,Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,"Smil, Vaclav",,"=""0241454417""","=""9780241454411""",0,3.84,Viking,Hardcover,384,2020,2020,,2023/02/23,,,read,,,,1,0
116536542,"Things We Left Behind (Knockemout, #3)",Lucy Score,"Score, Lucy",,"=""""","=""""",0,4.30,That's What She Said Publishing,Kindle Edition,,2023,2023,,2023/03/09,to-read,to-read (#67),to-read,,,,0,0
60060431,"Things We Never Got Over (Knockemout, #1)",Lucy Score,"Score, Lucy",,"=""""","=""""",5,4.20,That's What She Said Publishing,Kindle Edition,572,2022,2022,,2022/12/06,,,read,,,,1,0
16068905,Fangirl,Rainbow Rowell,"Rowell, Rainbow",,"=""""","=""""",0,3.96,St. Martin's Griffin,Kindle Edition,483,2013,2013,,2023/03/04,to-read,to-read (#66),to-read,,,,0,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",0,3.95,St. Martin's Press,Hardcover,328,2013,2012,,2023/03/04,to-read,to-read (#65),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.28,Modern Library,Paperback,279,2000,1813,,2023/03/04,to-read,to-read (#64),to-read,,,,0,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.32,Scribner,Hardcover,531,2014,2014,,2023/03/04,to-read,to-read (#63),to-read,,,,0,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.61,St. Martin's Press,Hardcover,440,2015,2015,,2023/03/04,to-read,to-read (#62),to-read,,,,0,0
55004121,An Emotion of Great Delight,Tahereh Mafi,"Mafi, Tahereh",,"=""0062972413""","=""9780062972415""",0,3.76,HarperCollins,Hardcover,248,2021,2021,,2023/03/03,to-read,to-read (#61),to-read,,,,0,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",5,4.02,Crown,Hardcover,342,2006,2006,2023/03/03,2023/02/04,,,read,,,,1,0
20640318,"The Girl in 6E (Deanna Madden, #1)",A.R. Torre,"Torre, A.R.",,"=""""","=""""",0,3.78,Redhook,Kindle Edition,352,2014,2013,,2023/02/28,to-read,to-read (#60),to-read,,,,0,0
7937843,Room,Emma Donoghue,"Donoghue, Emma",,"=""""","=""""",0,4.07,"Little, Brown and Company",Hardcover,321,2010,2010,,2023/02/28,to-read,to-read (#59),to-read,,,,0,0
5886881,Dark Places,Gillian Flynn,"Flynn, Gillian",,"=""0307341569""","=""9780307341563""",0,3.95,Shaye Areheart Books,Hardcover,424,2009,2009,,2023/02/28,to-read,to-read (#58),to-read,,,,0,0
53452906,Ten Lessons for a Post-Pandemic World,Fareed Zakaria,"Zakaria, Fareed",Veropnika Maxová a Jaroslav Veis,"=""""","=""""",0,3.97,W. W. Norton  Company,Hardcover,320,2020,2020,,2023/02/23,to-read,to-read (#57),to-read,,,,0,0
50043108,The Beauty in Breaking,Michele Harper,"Harper, Michele",,"=""0525537384""","=""9780525537380""",0,3.82,Riverhead Books,Hardcover,304,2020,2020,,2023/02/19,to-read,to-read (#56),to-read,,,,0,0
57933306,Stolen Focus: Why You Can't Pay Attention- and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",0,4.25,Crown,Hardcover,357,2022,2022,,2023/02/18,to-read,to-read (#55),to-read,,,,0,0
43801254,The Worst Best Man,Mia Sosa,"Sosa, Mia",,"=""0062909886""","=""9780062909886""",4,3.57,Avon,ebook,368,2020,2020,,2023/01/03,,,read,,,,1,0
59651553,"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",5,3.61,Berkley,Kindle Edition,139,2022,2022,2023/02/08,2023/02/06,,,read,,,,1,0
59651557,"Under One Roof (The STEMinist Novellas, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",5,3.68,Berkley,Kindle Edition,112,2022,2022,2023/02/06,2023/01/13,,,read,So so stupid cute ,,,1,0
